Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2059,79,1.2,1.006,29,85,93,100,100,97,0,90,5.052,4.296,18,46,8.7,1,10,4.03,778,12.24,123,0,0,0,0,0,0,3.45,17.515,15.768,255,0.936,0.936,0.994,84.234
0.047,2041,79.5,1.2,0.996,29,85,93,100,100,97,0,90,5.084,4.328,18,46,8.6,1,10,4.03,778,12.24,123,0,0,0,0,0,0,3.445,16.329,14.578,255,0.926,0.926,1.004,83.344
0.094,2057,79.5,1.2,1,29,85,93,100,100,97,0,90,5.084,4.328,18,46,8.7,1,10,4.03,778,12.24,123,0,0,0,0,0,0,3.472,16.131,14.379,255,0.93,0.93,1,83.7
0.141,2045,66.8,1.2,1.009,29,85,93,100,100,97,0,90,4.364,3.608,18,46,7.4,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.878,15.539,13.784,255,0.938,0.938,0.992,84.412
0.188,2047,54.3,1.2,1.015,29,85,93,100,100,97,0,90,3.692,2.936,18,46,6.3,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.344,17.218,15.47,255,0.944,0.944,0.985,84.947
0.235,2075,67,1.2,1.019,29,85,93,100,100,97,0,90,4.404,3.64,18,46,7.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,2.946,16.625,14.875,255,0.948,0.948,0.981,85.303
0.281,2034,79,1.2,1.009,29,85,93,100,100,97,0,90,5.052,4.296,18,46,8.6,1,10,4.03,778,12.24,123,0,0,0,0,0,0,3.408,17.218,15.47,255,0.938,0.938,0.992,84.412
0.328,2051,79.5,1.2,1.009,29,85,93,100,100,97,0,90,5.092,4.328,18,46,8.7,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.462,16.625,14.875,255,0.938,0.938,0.992,84.412
0.375,2061,66.3,1.2,1.015,29,85,93,100,100,97,0,90,4.332,3.576,18,47,7.4,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.874,15.934,14.181,255,0.944,0.944,0.985,84.947
0.422,2051,54.3,1.2,1.015,29,85,93,100,100,97,0,90,3.7,2.936,18,47,6.3,1,10,4.03,778,12.12,123,0,0,0,0,0,0,2.348,17.218,15.47,255,0.944,0.944,0.985,84.947
0.469,2075,67.3,1.2,1.015,29,85,93,100,100,97,0,90,4.396,3.64,18,46,7.6,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.946,16.033,14.28,255,0.944,0.944,0.985,84.947
0.516,2049,79,1.2,1.015,29,85,93,100,100,97,0,90,5.06,4.296,18,46,8.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.433,16.527,14.776,255,0.944,0.944,0.985,84.947
0.563,2035,78.8,1.2,1.009,29,85,93,100,100,97,0,90,5.024,4.268,18,46,8.5,1,10,4.03,778,12.24,123,0,0,0,0,0,0,3.387,16.922,15.173,255,0.938,0.938,0.992,84.412
0.61,2055,66,1.2,1.011,29,85,93,100,100,97,0,90,4.34,3.576,18,46,7.4,1,10,4.03,778,12.12,123,0,0,0,0,0,0,2.866,16.131,14.379,255,0.94,0.94,0.989,84.59
0.656,2062,54.3,1.2,1.011,29,85,93,100,100,97,0,90,3.692,2.936,18,46,6.3,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.361,17.218,15.47,255,0.94,0.94,0.989,84.59
0.703,2058,67.3,1.2,1.009,29,85,93,100,100,97,0,90,4.404,3.64,18,46,7.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,2.922,16.329,14.578,255,0.938,0.938,0.992,84.412
0.75,2041,79.8,1.2,1.006,29,85,93,100,100,97,0,90,4.34,3.576,18,46,7.4,1,10,4.03,778,12.12,123,0,0,0,0,0,0,2.846,16.23,14.478,255,0.936,0.936,0.994,84.234
0.797,2043,79,1.2,1.009,29,85,93,100,100,97,0,90,5.06,4.296,18,46,8.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.423,16.527,14.776,255,0.938,0.938,0.992,84.412
0.844,2052,66.8,1.2,1.015,29,85,93,100,100,97,0,90,4.364,3.608,18,46,7.5,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.887,15.637,13.883,255,0.944,0.944,0.985,84.947
0.891,2030,54.3,1.2,1.015,29,85,93,100,100,97,0,90,3.692,2.936,18,46,6.2,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.324,17.021,15.272,255,0.944,0.944,0.985,84.947
0.938,2049,67.5,1.2,1.015,29,85,93,100,100,97,0,90,4.428,3.672,18,46,7.6,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.934,15.835,14.082,255,0.944,0.944,0.985,84.947
0.985,2033,79.8,1.2,1.015,29,85,93,100,100,97,0,90,5.092,4.328,18,46,8.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.432,16.527,14.776,255,0.944,0.944,0.985,84.947
1.031,2049,79.3,1.2,1.015,29,85,93,100,100,97,0,90,5.052,4.296,18,46,8.6,1,10,4.03,778,12.24,123,0,0,0,0,0,0,3.433,16.625,14.875,255,0.944,0.944,0.985,84.947
1.078,2048,66.8,1.2,1.011,29,85,93,100,100,97,0,90,4.364,3.608,18,46,7.4,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.882,15.242,13.487,255,0.94,0.94,0.989,84.59
1.125,2025,54,1.2,1.011,29,85,93,100,100,97,0,90,3.692,2.936,18,46,6.2,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.319,17.811,16.065,255,0.94,0.94,0.989,84.59
1.172,2067,66.8,1.2,1.021,29,85,93,100,100,97,0,90,4.364,3.608,18,46,7.5,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.909,15.934,14.181,255,0.95,0.95,0.979,85.481
1.219,2035,79.3,1.2,1.019,29,85,93,100,100,97,0,90,5.06,4.296,18,46,8.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.41,16.329,14.578,255,0.948,0.948,0.981,85.303
1.266,2016,79.3,1.2,1.011,29,85,93,100,100,97,0,90,5.06,4.296,18,47,8.5,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.378,15.539,13.784,255,0.94,0.94,0.989,84.59
1.313,2022,66.5,1.2,1.021,29,85,93,100,100,97,0,90,4.364,3.608,18,47,7.4,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.845,16.033,14.28,255,0.95,0.95,0.979,85.481
1.375,2019,54.5,1.2,1.03,29,85,93,100,100,97,0,90,3.72,2.964,18,46,6.3,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.334,17.021,15.272,255,0.958,0.958,0.971,86.193
1.422,2054,67.5,1.2,1.023,29,85,93,100,100,97,0,90,4.444,3.688,18,46,7.6,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.954,16.131,14.379,255,0.952,0.952,0.977,85.659
1.469,2021,80,1.2,1.011,29,85,93,100,100,97,0,90,5.128,4.364,18,46,8.6,1,10,4.03,778,12.12,123,0,0,0,0,0,0,3.44,17.317,15.569,255,0.94,0.94,0.989,84.59
1.516,2045,67,1.2,1,29,85,93,100,100,97,0,90,4.427,3.656,18,46,7.5,1,10,4.03,778,12,123,0,0,0,0,0,0,2.916,15.835,14.082,255,0.93,0.93,1,83.7
1.563,2033,66.3,1.2,1.011,29,85,93,100,100,97,0,90,4.348,3.592,18,46,7.4,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.848,15.835,14.082,255,0.94,0.94,0.989,84.59
1.61,2041,54.8,1.2,1.015,29,85,93,100,100,97,0,90,3.72,2.964,18,46,6.3,1,10,4.03,778,12.24,123,0,0,0,0,0,0,2.359,16.922,15.173,255,0.944,0.944,0.985,84.947
