Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
0,2053,66.3,1.2,0.991,29,85,92,100,100,97,0,90,4.324,3.56,18,46,7.4,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.85,21.369,19.635,255,0.912,0.912,1.009,82.095
0,2053,66,1.2,0.998,29,85,92,100,100,97,0,90,4.316,3.56,18,46,7.4,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.85,20.677,18.941,255,0.918,0.918,1.002,82.624
0.063,2056,54.3,1.2,0.998,29,85,92,100,100,97,0,90,3.688,2.924,18,46,6.3,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.345,22.258,20.528,255,0.918,0.918,1.002,82.624
0.11,2064,54,1.2,0.998,29,85,92,100,100,97,0,90,3.688,2.924,18,46,6.3,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.354,22.258,20.528,255,0.918,0.918,1.002,82.624
0.156,2063,67,1.2,1,29,85,92,100,100,97,0,90,4.38,3.624,18,46,7.5,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.916,21.171,19.437,255,0.92,0.92,1,82.8
0.203,2055,66,1.2,1,29,85,92,100,100,97,0,90,4.324,3.56,18,46,7.4,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.853,21.566,19.833,255,0.92,0.92,1,82.8
0.25,2075,78.8,1.2,0.998,29,85,92,100,100,97,0,90,5.004,4.248,18,46,8.7,1,15,4.03,758,12.24,123,0,0,0,0,0,0,3.438,21.764,20.032,255,0.918,0.918,1.002,82.624
0.297,2081,66,1.2,0.998,29,85,92,100,100,97,0,90,4.316,3.56,18,47,7.5,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.889,20.677,18.941,255,0.918,0.918,1.002,82.624
0.344,2053,53.8,1.2,0.991,29,85,92,100,100,97,0,90,3.663,2.892,18,47,6.3,1,15,4.03,758,12,123,0,0,0,0,0,0,2.316,21.467,19.734,255,0.912,0.912,1.009,82.095
0.391,2055,67,1.2,0.991,29,85,92,100,100,97,0,90,4.38,3.624,18,46,7.5,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.904,21.863,20.131,255,0.912,0.912,1.009,82.095
0.438,2079,67.3,1.2,0.991,29,85,92,100,100,97,0,90,4.388,3.624,18,46,7.6,1,15,4.03,759,12.12,123,0,0,0,0,0,0,2.938,22.06,20.329,255,0.912,0.912,1.009,82.095
0.485,2070,79,1.2,0.996,29,85,92,100,100,97,0,90,5.036,4.28,18,46,8.7,1,15,4.03,758,12.24,123,0,0,0,0,0,0,3.455,23.048,21.321,255,0.916,0.916,1.004,82.448
0.531,2068,65.8,1.2,0.998,29,85,92,100,100,97,0,90,4.308,3.544,18,46,7.4,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.858,21.369,19.635,255,0.918,0.918,1.002,82.624
0.594,2072,54.3,1.2,0.998,29,85,92,100,100,97,0,90,3.688,2.924,18,46,6.4,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.363,20.874,19.139,255,0.918,0.918,1.002,82.624
0.641,2068,54.3,1.2,0.998,29,85,92,100,100,97,0,90,3.68,2.924,18,46,6.3,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.358,21.369,19.635,255,0.918,0.918,1.002,82.624
0.688,2089,66.3,1.2,0.998,29,85,92,100,100,97,0,90,4.316,3.56,18,46,7.5,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.9,21.665,19.933,255,0.918,0.918,1.002,82.624
0.735,2075,78.5,1.2,0.998,29,85,92,100,100,97,0,90,5.004,4.248,18,46,8.7,1,15,4.03,758,12.24,123,0,0,0,0,0,0,3.438,23.444,21.718,255,0.918,0.918,1.002,82.624
0.781,2097,65.8,1.2,0.998,29,85,92,100,100,97,0,90,4.315,3.544,18,46,7.5,1,15,4.03,758,12,123,0,0,0,0,0,0,2.898,20.973,19.238,255,0.918,0.918,1.002,82.624
0.828,2067,65.8,1.2,1,29,85,92,100,100,97,0,90,4.3,3.544,18,46,7.4,1,15,4.03,759,12.24,123,0,0,0,0,0,0,2.857,21.369,19.635,255,0.92,0.92,1,82.8
0.875,2058,54,1.2,1.002,29,85,92,100,100,97,0,90,3.68,2.924,18,46,6.3,1,15,4.03,758,12.24,123,0,0,0,0,0,0,2.347,22.752,21.024,255,0.922,0.922,0.998,82.976
0.922,2054,67,1.2,1,29,85,92,100,100,97,0,90,4.38,3.624,18,46,7.5,1,15,4.03,759,12.24,123,0,0,0,0,0,0,2.903,21.665,19.933,255,0.92,0.92,1,82.8
0.969,2075,78.3,1.2,1,29,85,92,100,100,97,0,90,4.98,4.216,18,46,8.6,1,15,4.03,759,12.12,123,0,0,0,0,0,0,3.412,22.851,21.123,255,0.92,0.92,1,82.8
1.016,2055,79,1.2,1,29,85,92,100,100,97,0,90,5.051,4.28,18,47,8.6,1,15,4.03,758,12,123,0,0,0,0,0,0,3.43,21.863,20.131,255,0.92,0.92,1,82.8
1.063,2050,65.5,1.2,1,29,85,92,100,100,97,0,90,4.308,3.544,18,47,7.4,1,15,4.03,758,12.12,123,0,0,0,0,0,0,2.833,20.282,18.544,255,0.92,0.92,1,82.8
1.11,2060,54.3,1.2,0.991,29,85,92,100,100,97,0,90,3.68,2.924,18,46,6.3,1,15,4.03,759,12.24,123,0,0,0,0,0,0,2.349,22.653,20.924,255,0.912,0.912,1.009,82.095
1.156,2087,66.8,1.2,0.996,29,85,92,100,100,97,0,90,4.352,3.596,18,46,7.6,1,15,4.03,759,12.24,123,0,0,0,0,0,0,2.927,21.665,19.933,255,0.916,0.916,1.004,82.448
1.203,2061,79,1.2,0.991,29,85,92,100,100,97,0,90,5.051,4.28,18,46,8.7,1,15,4.03,758,12,123,0,0,0,0,0,0,3.44,22.06,20.329,255,0.912,0.912,1.009,82.095
1.25,2056,79,1.2,0.991,29,85,92,100,100,97,0,90,5.036,4.28,18,46,8.6,1,15,4.03,759,12.24,123,0,0,0,0,0,0,3.432,22.95,21.222,255,0.912,0.912,1.009,82.095
1.297,2057,65.5,1.2,0.989,29,85,92,100,100,97,0,90,4.315,3.544,18,46,7.4,1,15,4.03,759,12,123,0,0,0,0,0,0,2.843,20.677,18.941,255,0.91,0.91,1.011,81.919
