"Time	RPM	MAP	TP	lambda	MAT	CLT	Gego	Gwarm	Gbaro	Gammae	TPSacc	Gve	PW	PW_raw	IacDC	IacSteps	DutyCycle1	lambdaTarget	Spark	Dwell	EGT #1	Vbatt	IacInt	speed_rpm_ratio	altitude	speed	course	distance	distance_sum	inst_Vems	torque	torque_nominal	L100km	lambda_corr_ego	lambda_corr_ego	afr_diff	corrected_ve	",Time,RPM,MAP,TP,lambda,MAT,CLT,Gego,Gwarm,Gbaro,Gammae,TPSacc,Gve,PW,PW_raw,IacDC,IacSteps,DutyCycle1,lambdaTarget,Spark,Dwell,EGT #1,Vbatt,IacInt,speed_rpm_ratio,altitude,speed,course,distance,distance_sum,inst_Vems,torque,torque_nominal,L100km,lambda_corr_ego,lambda_corr_ego,afr_diff,corrected_ve
"0.000	1994	55.3	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.752	2.996	18	47	6.2	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.330	36.388	34.709	255.000	0.928	0.928	1.002	83.522	",0,1994,55.3,1.2,0.998,30,85,93,100,100,97,0,90,3.752,2.996,18,47,6.2,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.33,36.388,34.709,255,0.928,0.928,1.002,83.522
"0.032	1995	55.0	1.2	0.998	30.0	85.0	93	100	100	97	0.0	90	3.760	2.996	18	46	6.3	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.331	35.697	34.014	255.000	0.928	0.928	1.002	83.522	",0.032,1995,55,1.2,0.998,30,85,93,100,100,97,0,90,3.76,2.996,18,46,6.3,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.331,35.697,34.014,255,0.928,0.928,1.002,83.522
"0.079	1992	67.5	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	46	7.4	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.850	33.720	32.031	255.000	0.930	0.930	1.000	83.700	",0.079,1992,67.5,1.2,1,30,85,93,100,100,97,0,90,4.432,3.668,18,46,7.4,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.85,33.72,32.031,255,0.93,0.93,1,83.7
"0.125	2004	80.8	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.151	4.380	18	47	8.6	1.000	30.0	4.03	676	12.00	123	0	0.0	0.0	0.0	0	0	3.423	36.388	34.709	255.000	0.930	0.930	1.000	83.700	",0.125,2004,80.8,1.2,1,30,85,93,100,100,97,0,90,5.151,4.38,18,47,8.6,1,30,4.03,676,12,123,0,0,0,0,0,0,3.423,36.388,34.709,255,0.93,0.93,1,83.7
"0.172	1988	67.8	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.424	3.668	18	47	7.3	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.844	35.400	33.717	255.000	0.932	0.932	0.998	83.878	",0.172,1988,67.8,1.2,1.002,30,85,93,100,100,97,0,90,4.424,3.668,18,47,7.3,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.844,35.4,33.717,255,0.932,0.932,0.998,83.878
"0.219	1994	54.8	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	3.728	2.964	18	47	6.2	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.305	33.523	31.833	255.000	0.936	0.936	0.994	84.234	",0.219,1994,54.8,1.2,1.006,30,85,93,100,100,97,0,90,3.728,2.964,18,47,6.2,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.305,33.523,31.833,255,0.936,0.936,0.994,84.234
"0.266	1990	66.3	1.2	1.006	30.0	85.0	93	100	100	97	0.0	90	4.348	3.592	18	47	7.2	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	2.788	35.005	33.320	255.000	0.936	0.936	0.994	84.234	",0.266,1990,66.3,1.2,1.006,30,85,93,100,100,97,0,90,4.348,3.592,18,47,7.2,1,30,4.03,676,12.24,123,0,0,0,0,0,0,2.788,35.005,33.32,255,0.936,0.936,0.994,84.234
"0.313	1996	67.5	1.2	1.002	30.0	85.0	93	100	100	97	0.0	90	4.439	3.668	18	46	7.4	1.000	30.0	4.03	676	12.00	123	0	0.0	0.0	0.0	0	0	2.855	34.116	32.428	255.000	0.932	0.932	0.998	83.878	",0.313,1996,67.5,1.2,1.002,30,85,93,100,100,97,0,90,4.439,3.668,18,46,7.4,1,30,4.03,676,12,123,0,0,0,0,0,0,2.855,34.116,32.428,255,0.932,0.932,0.998,83.878
"0.360	2005	80.8	1.2	1.000	30.0	85.0	93	100	100	97	0.0	90	5.136	4.380	18	46	8.6	1.000	30.0	4.03	676	12.24	123	0	0.0	0.0	0.0	0	0	3.425	36.882	35.204	255.000	0.930	0.930	1.000	83.700	",0.36,2005,80.8,1.2,1,30,85,93,100,100,97,0,90,5.136,4.38,18,46,8.6,1,30,4.03,676,12.24,123,0,0,0,0,0,0,3.425,36.882,35.204,255,0.93,0.93,1,83.7
"0.407	1996	67.5	1.2	0.996	30.0	85.0	93	100	100	97	0.0	90	4.432	3.668	18	47	7.4	1.000	30.0	4.03	676	12.12	123	0	0.0	0.0	0.0	0	0	2.855	34.412	32.725	255.000	0.926	0.926	1.004	83.344	",0.407,1996,67.5,1.2,0.996,30,85,93,100,100,97,0,90,4.432,3.668,18,47,7.4,1,30,4.03,676,12.12,123,0,0,0,0,0,0,2.855,34.412,32.725,255,0.926,0.926,1.004,83.344
